hour_of_day,day_of_week,is_weekend,is_night,is_business_hours,day_of_month,is_month_start,is_month_end,amount,amount_log,amount_rounded,amount_decimal_places,is_high_value,is_very_high_value,amount_percentile,email_length,email_domain,is_disposable_email,is_gmail,is_yahoo,is_corporate_email,email_has_numbers,email_numeric_ratio,velocity_customer_tx_count_1h,velocity_customer_tx_count_24h,velocity_customer_tx_count_7d,velocity_customer_amount_1h,velocity_customer_amount_24h,velocity_customer_amount_7d,velocity_ip_tx_count_1h,velocity_ip_tx_count_24h,velocity_device_tx_count_1h,velocity_device_tx_count_24h,is_fraud,transaction_id
17,1,0,0,1,25,0,0,500.0,6.2166061010848646,1,0,0,0,60,24,4490,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_medium_20251125121608
17,1,0,0,1,25,0,0,9500.0,9.15915233520675,1,0,1,1,90,27,8774,1,0,0,0,1,0.2857,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_high_risk_20251125121608
17,1,0,0,1,25,0,0,50.0,3.9318256327243257,1,0,0,0,30,23,7194,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_low_risk_20251125121607
17,1,0,0,1,25,0,0,500.0,6.2166061010848646,1,0,0,0,60,24,4490,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_medium_20251125121417
17,1,0,0,1,25,0,0,9500.0,9.15915233520675,1,0,1,1,90,26,8774,1,0,0,0,1,0.2308,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_high_risk_20251125121417
17,1,0,0,1,25,0,0,50.0,3.9318256327243257,1,0,0,0,30,23,7194,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_low_risk_20251125121417
17,1,0,0,1,25,0,0,500.0,6.2166061010848646,1,0,0,0,60,24,4490,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_medium_20251125121401
17,1,0,0,1,25,0,0,50.0,3.9318256327243257,1,0,0,0,30,23,7194,0,1,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_low_risk_20251125121401
15,1,0,0,1,25,0,0,350.0,5.860786223465865,1,0,0,0,50,14,7090,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_opt_final
15,1,0,0,1,25,0,0,250.5,5.527442989539794,0,1,0,0,50,20,7232,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_opt_999
14,1,0,0,1,25,0,0,50.0,3.9318256327243257,1,0,0,0,30,13,7090,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,rate_test_5_790664454
14,1,0,0,1,25,0,0,50.0,3.9318256327243257,1,0,0,0,30,13,7090,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,rate_test_4_882231649
14,1,0,0,1,25,0,0,50.0,3.9318256327243257,1,0,0,0,30,13,7090,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,rate_test_3_1699610196
14,1,0,0,1,25,0,0,50.0,3.9318256327243257,1,0,0,0,30,13,7090,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,rate_test_2_1965012475
14,1,0,0,1,25,0,0,50.0,3.9318256327243257,1,0,0,0,30,13,7090,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,rate_test_1_713106872
14,1,0,0,1,25,0,0,250.5,5.527442989539794,0,1,0,0,50,20,3212,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test_419760251
14,1,0,0,1,25,0,0,100.0,4.61512051684126,1,0,0,0,40,16,3212,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_1412928355
14,1,0,0,1,25,0,0,100.0,4.61512051684126,1,0,0,0,40,16,3212,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_557704193
14,1,0,0,1,25,0,0,100.0,4.61512051684126,1,0,0,0,40,16,3212,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_test
14,1,0,0,1,25,0,0,100.0,4.61512051684126,1,0,0,0,40,16,3212,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_123
14,1,0,0,1,25,0,0,150.0,5.017279836814924,1,0,0,0,40,13,7090,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test3
14,1,0,0,1,25,0,0,150.0,5.017279836814924,1,0,0,0,40,13,7090,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test2
14,1,0,0,1,25,0,0,150.0,5.017279836814924,1,0,0,0,40,13,7090,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,test1
10,2,0,0,1,27,0,0,150.5,5.020585624949424,0,1,0,0,40,20,3212,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_test_dia3_001
0,1,0,1,0,25,0,0,250.75,5.528436531598672,0,2,0,0,50,18,3212,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,verify_score_1764031299
2,1,0,1,0,4,0,0,1050.1,6.957592513829309,0,1,1,0,70,19,594,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_84cb541f-ca5
16,3,0,0,1,6,0,0,3371.51,8.123412553236893,0,2,1,0,80,21,2630,0,0,0,1,1,0.2222,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_965d0625-96a
2,1,0,1,0,18,0,0,3070.71,8.029989688769838,0,2,1,0,80,20,594,0,0,0,1,1,0.25,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_3311ad28-662
9,4,0,0,1,21,0,0,1882.81,7.54105160079378,0,2,1,0,70,20,3212,0,0,0,1,1,0.25,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_e7f7f65d-533
2,5,1,1,0,8,0,0,1719.16,7.450172588736918,0,2,1,0,70,19,594,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_f6e0c2fa-9e0
14,2,0,0,1,5,0,0,696.85,6.548004179954654,0,2,0,0,60,20,2630,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_587f75f4-b39
8,0,0,0,0,10,0,0,1114.01,7.016618652463867,0,2,1,0,70,27,2630,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_a5ab1200-8b7
12,2,0,0,1,29,0,1,1609.23,7.384132304918256,0,2,1,0,70,21,594,0,0,0,1,1,0.2222,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_44466951-aa5
23,3,0,1,0,30,0,1,1465.31,7.290504319846568,0,2,1,0,70,22,3212,0,0,0,1,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,txn_83d502f4-b63
